graph_id,model,graph_n,sample_frac,objective,target_sampler,best_error,model_BA,model_ER,model_WS
ER_n1000_s45,ER,1000,0.5,preserve_betweenness,snowball,0.09990964392542817,0,1,0
ER_n5000_s0,ER,5000,0.05,preserve_betweenness,snowball,0.09697531713233797,0,1,0
ER_n5000_s0,ER,5000,0.1,preserve_betweenness,snowball,0.09921449634627326,0,1,0
ER_n5000_s0,ER,5000,0.2,preserve_betweenness,snowball,0.11058642771259748,0,1,0
ER_n5000_s0,ER,5000,0.3,preserve_betweenness,snowball,0.11205211379255613,0,1,0
ER_n5000_s0,ER,5000,0.5,preserve_betweenness,snowball,0.07207464252078429,0,1,0
ER_n5000_s15,ER,5000,0.05,preserve_betweenness,snowball,0.09131944135054564,0,1,0
ER_n5000_s15,ER,5000,0.1,preserve_betweenness,snowball,0.0874194445264721,0,1,0
ER_n5000_s15,ER,5000,0.2,preserve_betweenness,snowball,0.10313462545910212,0,1,0
ER_n5000_s15,ER,5000,0.3,preserve_betweenness,snowball,0.11057433579881822,0,1,0
ER_n5000_s15,ER,5000,0.5,preserve_betweenness,snowball,0.0684866666561281,0,1,0
ER_n5000_s45,ER,4999,0.05,preserve_betweenness,snowball,0.08686396216571357,0,1,0
ER_n5000_s45,ER,4999,0.1,preserve_betweenness,snowball,0.08189562619546913,0,1,0
ER_n5000_s45,ER,4999,0.2,preserve_betweenness,snowball,0.0881468061070732,0,1,0
ER_n5000_s45,ER,4999,0.3,preserve_betweenness,snowball,0.10219688054605273,0,1,0
ER_n5000_s45,ER,4999,0.5,preserve_betweenness,snowball,0.07061467628459821,0,1,0
WS_n1000_s0,WS,1000,0.05,preserve_betweenness,snowball,0.12759797042876425,0,0,1
WS_n1000_s0,WS,1000,0.1,preserve_betweenness,snowball,0.1411436791449722,0,0,1
WS_n1000_s0,WS,1000,0.2,preserve_betweenness,random_node,0.18059549991718055,0,0,1
WS_n1000_s0,WS,1000,0.3,preserve_betweenness,snowball,0.163445221751585,0,0,1
WS_n1000_s0,WS,1000,0.5,preserve_betweenness,snowball,0.13840162765514416,0,0,1
WS_n1000_s15,WS,1000,0.05,preserve_betweenness,snowball,0.1457675526139094,0,0,1
WS_n1000_s15,WS,1000,0.1,preserve_betweenness,snowball,0.15047715705850995,0,0,1
WS_n1000_s15,WS,1000,0.2,preserve_betweenness,snowball,0.17211647612071346,0,0,1
WS_n1000_s15,WS,1000,0.3,preserve_betweenness,snowball,0.1590826592188486,0,0,1
WS_n1000_s15,WS,1000,0.5,preserve_betweenness,snowball,0.12831755941768744,0,0,1
WS_n1000_s45,WS,1000,0.05,preserve_betweenness,snowball,0.168832429991742,0,0,1
WS_n1000_s45,WS,1000,0.1,preserve_betweenness,snowball,0.16129100200548288,0,0,1
WS_n1000_s45,WS,1000,0.2,preserve_betweenness,snowball,0.1906167056719112,0,0,1
WS_n1000_s45,WS,1000,0.3,preserve_betweenness,snowball,0.16921331596088376,0,0,1
WS_n1000_s45,WS,1000,0.5,preserve_betweenness,snowball,0.1401328821963636,0,0,1
WS_n5000_s0,WS,5000,0.05,preserve_betweenness,snowball,0.12363262714078545,0,0,1
WS_n5000_s0,WS,5000,0.1,preserve_betweenness,snowball,0.11490853309629842,0,0,1
WS_n5000_s0,WS,5000,0.2,preserve_betweenness,snowball,0.12299965965875606,0,0,1
WS_n5000_s0,WS,5000,0.3,preserve_betweenness,snowball,0.12262133939919309,0,0,1
WS_n5000_s0,WS,5000,0.5,preserve_betweenness,snowball,0.08784795662579718,0,0,1
WS_n5000_s15,WS,5000,0.05,preserve_betweenness,snowball,0.11857553467491336,0,0,1
WS_n5000_s15,WS,5000,0.1,preserve_betweenness,snowball,0.11082355677275094,0,0,1
WS_n5000_s15,WS,5000,0.2,preserve_betweenness,random_node,0.12593016126942363,0,0,1
WS_n5000_s15,WS,5000,0.3,preserve_betweenness,snowball,0.12086008923972229,0,0,1
WS_n5000_s15,WS,5000,0.5,preserve_betweenness,snowball,0.08912569610809881,0,0,1
WS_n5000_s45,WS,5000,0.05,preserve_betweenness,snowball,0.11718938982989577,0,0,1
WS_n5000_s45,WS,5000,0.1,preserve_betweenness,snowball,0.10866649414244792,0,0,1
WS_n5000_s45,WS,5000,0.2,preserve_betweenness,random_node,0.1286166666132513,0,0,1
WS_n5000_s45,WS,5000,0.3,preserve_betweenness,snowball,0.13052738386395316,0,0,1
WS_n5000_s45,WS,5000,0.5,preserve_betweenness,snowball,0.09257918432884368,0,0,1
BA_n1000_s0,BA,1000,0.05,preserve_shortest_path,preferential_random_walk,0.1080513909499358,1,0,0
BA_n1000_s0,BA,1000,0.1,preserve_shortest_path,preferential_random_walk,0.07924063208320055,1,0,0
BA_n1000_s0,BA,1000,0.2,preserve_shortest_path,random_walk,0.03948703884911956,1,0,0
BA_n1000_s0,BA,1000,0.3,preserve_shortest_path,random_walk,0.010742138482693269,1,0,0
BA_n1000_s0,BA,1000,0.5,preserve_shortest_path,random_edge,0.00508286141567589,1,0,0
BA_n1000_s15,BA,1000,0.05,preserve_shortest_path,preferential_random_walk,0.11293855331159186,1,0,0
BA_n1000_s15,BA,1000,0.1,preserve_shortest_path,preferential_random_walk,0.07802733392303748,1,0,0
BA_n1000_s15,BA,1000,0.2,preserve_shortest_path,random_walk,0.04316895227022513,1,0,0
BA_n1000_s15,BA,1000,0.3,preserve_shortest_path,random_edge,0.01532419604035056,1,0,0
BA_n1000_s15,BA,1000,0.5,preserve_shortest_path,random_edge,0.0055479945553655995,1,0,0
BA_n1000_s45,BA,1000,0.05,preserve_shortest_path,preferential_random_walk,0.09399749980566878,1,0,0
BA_n1000_s45,BA,1000,0.1,preserve_shortest_path,preferential_random_walk,0.06852219364919727,1,0,0
BA_n1000_s45,BA,1000,0.2,preserve_shortest_path,random_edge,0.042715607080217745,1,0,0
BA_n1000_s45,BA,1000,0.3,preserve_shortest_path,random_walk,0.01526616467167766,1,0,0
BA_n1000_s45,BA,1000,0.5,preserve_shortest_path,random_walk,0.00631505510573035,1,0,0
BA_n5000_s0,BA,5000,0.05,preserve_shortest_path,preferential_random_walk,0.04738688996238646,1,0,0
